#PMT x, y, z
0 0.0760861 0 0.144662
1 4.65893e-18 0.0760861 0.144662
2 -0.0760861 9.31786e-18 0.144662
3 -1.39768e-17 -0.0760861 0.144662
4 0.125034 0.0517906 0.0614731
5 0.0517906 0.125034 0.0614731
6 -0.0517906 0.125034 0.0614731
7 -0.125034 0.0517906 0.0614731
8 -0.125034 -0.0517906 0.0614731
9 -0.0517906 -0.125034 0.0614731
10 0.0517906 -0.125034 0.0614731
11 0.125034 -0.0517906 0.0614731
12 0.125034 0.0517906 -0.0614731
13 0.0517906 0.125034 -0.0614731
14 -0.0517906 0.125034 -0.0614731
15 -0.125034 0.0517906 -0.0614731
16 -0.125034 -0.0517906 -0.0614731
17 -0.0517906 -0.125034 -0.0614731
18 0.0517906 -0.125034 -0.0614731
19 0.125034 -0.0517906 -0.0614731
20 0.0760861 0 -0.144662
21 4.65893e-18 0.0760861 -0.144662
22 -0.0760861 9.31786e-18 -0.144662
23 -1.39768e-17 -0.0760861 -0.144662
