WaveLength,MFMS Default,IC Env,PDOM Env
2.60E-07,1.5510E-04,9.84730E-05,9.94677E-05
2.70E-07,1.5510E-04,1.44735E-04,1.46197E-04
2.80E-07,1.5510E-04,1.31435E-04,1.32762E-04
2.90E-07,1.5510E-04,1.02002E-04,1.03032E-04
3.00E-07,5.2837E-05,4.66920E-05,4.71636E-05
3.10E-07,3.2188E-03,3.00225E-03,3.03258E-03
3.20E-07,1.3358E-02,1.29408E-02,1.30716E-02
3.30E-07,4.0752E-02,3.99811E-02,4.03850E-02
3.40E-07,8.6531E-02,8.35890E-02,8.44334E-02
3.50E-07,1.4745E-01,1.40972E-01,1.42396E-01
3.60E-07,1.7931E-01,1.70048E-01,1.71766E-01
3.70E-07,2.1774E-01,2.03327E-01,2.05381E-01
3.80E-07,2.3857E-01,2.18716E-01,2.20925E-01
3.90E-07,2.5425E-01,2.27752E-01,2.30053E-01
4.00E-07,2.6673E-01,2.32698E-01,2.35048E-01
4.10E-07,2.7455E-01,2.33161E-01,2.35516E-01
4.20E-07,2.7506E-01,2.28785E-01,2.31095E-01
4.30E-07,2.6809E-01,2.20446E-01,2.22673E-01
4.40E-07,2.5982E-01,2.13281E-01,2.15435E-01
4.50E-07,2.5110E-01,2.07402E-01,2.09497E-01
4.60E-07,2.3982E-01,1.97979E-01,1.99979E-01
4.70E-07,2.2380E-01,1.82672E-01,1.84517E-01
4.80E-07,2.1038E-01,1.69154E-01,1.70862E-01
4.90E-07,2.0006E-01,1.58540E-01,1.60141E-01
5.00E-07,1.9175E-01,1.48903E-01,1.50408E-01
5.10E-07,1.8179E-01,1.39048E-01,1.40452E-01
5.20E-07,1.5956E-01,1.23688E-01,1.24937E-01
5.30E-07,1.2821E-01,1.02322E-01,1.03355E-01
5.40E-07,1.0526E-01,8.36715E-02,8.45167E-02
5.50E-07,9.0345E-02,6.83401E-02,6.90304E-02
5.60E-07,8.0000E-02,5.63886E-02,5.69582E-02
5.70E-07,7.0222E-02,4.63601E-02,4.68284E-02
5.80E-07,6.0901E-02,3.85714E-02,3.89610E-02
5.90E-07,5.0758E-02,3.12370E-02,3.15526E-02
6.00E-07,4.1739E-02,2.54964E-02,2.57540E-02
6.10E-07,3.2579E-02,1.99009E-02,2.01019E-02
6.20E-07,2.5352E-02,1.54867E-02,1.56432E-02
6.30E-07,1.7310E-02,1.05741E-02,1.06809E-02
6.40E-07,1.1644E-02,7.11271E-03,7.18456E-03
6.50E-07,6.9979E-03,4.27470E-03,4.31788E-03
6.60E-07,4.2844E-03,2.61716E-03,2.64360E-03
6.70E-07,2.7507E-03,1.68030E-03,1.69727E-03
6.80E-07,1.2239E-03,7.47648E-04,7.55200E-04
6.90E-07,1.2239E-03,7.47648E-04,7.55200E-04
