# Optical gel absorption lengths from mDOM-WOM-Simulation
# May 16
# wlen[nm]    absLen[m]
2.600000000000000000e+02 9.999999999999999799e-13
2.700000000000000000e+02 9.999999999999999799e-13
2.800000000000000000e+02 9.999999999999999799e-13
2.900000000000000000e+02 9.999999999999999799e-13
3.000000000000000000e+02 9.999999999999999799e-13
3.100000000000000000e+02 8.000000000000000167e-02
3.200000000000000000e+02 1.559999999999999998e-01
3.300000000000000000e+02 2.307999999999999774e-01
3.400000000000000000e+02 3.049000000000000044e-01
3.500000000000000000e+02 3.714000000000000079e-01
3.600000000000000000e+02 4.188000000000000611e-01
3.700000000000000000e+02 4.571000000000000063e-01
3.800000000000000000e+02 4.896000000000000352e-01
3.900000000000000000e+02 5.329000000000000403e-01
4.000000000000000000e+02 5.664000000000000146e-01
4.100000000000000000e+02 5.937999999999999945e-01
4.200000000000000000e+02 6.253000000000000780e-01
4.300000000000000000e+02 6.448000000000000398e-01
4.400000000000000000e+02 6.691000000000000281e-01
4.500000000000000000e+02 6.804999999999999938e-01
4.600000000000000000e+02 7.231000000000000760e-01
4.700000000000000000e+02 7.454999999999999405e-01
4.800000000000000000e+02 7.648000000000000353e-01
4.900000000000000000e+02 7.818000000000000504e-01
5.000000000000000000e+02 8.107999999999999652e-01
5.100000000000000000e+02 8.448999999999999844e-01
5.200000000000000000e+02 8.588000000000000078e-01
5.300000000000000000e+02 8.695000000000000506e-01
5.400000000000000000e+02 9.009999999999999121e-01
5.500000000000000000e+02 8.909000000000000252e-01
5.600000000000000000e+02 9.435999999999999943e-01
5.700000000000000000e+02 9.642000000000000570e-01
5.800000000000000000e+02 9.690000000000000835e-01
5.900000000000000000e+02 9.989000000000000101e-01
6.000000000000000000e+02 9.993999999999999551e-01
6.100000000000000000e+02 1.008099999999999996e+00
6.200000000000000000e+02 1.008099999999999996e+00
6.300000000000000000e+02 1.008099999999999996e+00
6.400000000000000000e+02 1.008099999999999996e+00
6.500000000000000000e+02 1.008099999999999996e+00
6.600000000000000000e+02 1.008099999999999996e+00
6.700000000000000000e+02 1.008099999999999996e+00
6.800000000000000000e+02 1.008099999999999996e+00
6.900000000000000000e+02 1.008099999999999996e+00
