#PMT zen[deg] azi[deg]
0 33.000000 22.500000
1 33.000000 112.500000
2 33.000000 202.500000
3 33.000000 292.500000

4 74.000000 180.000000
5 74.000000 225.000000
6 74.000000 270.000000
7 74.000000 315.000000
8 74.000000 0.000000
9 74.000000 45.000000
10 74.000000 90.000000
11 74.000000 135.000000

12 106.000000 202.500000
13 106.000000 247.500000
14 106.000000 292.500000
15 106.000000 337.500000
16 106.000000 22.500000
17 106.000000 67.500000
18 106.000000 112.500000
19 106.000000 157.500000

20 147.000000 337.500000
21 147.000000 67.500000
22 147.000000 157.500000
23 147.000000 247.500000
