#PMT x, y, z
0 0.075914 0.031445 0.126529
1 -0.031445 0.075914 0.126529
2 -0.075914 -0.031445 0.126529
3 0.031445 -0.075914 0.126529

4 -0.145024 -0.000000 0.041585
5 -0.102548 -0.102548 0.041585
6 0.000000 -0.145024 0.041585
7 0.102548 -0.102548 0.041585
8 0.145024 0.000000 0.041585
9 0.102548 0.102548 0.041585
10 0.000000 0.145024 0.041585
11 -0.102548 0.102548 0.041585

12 -0.133985 -0.055498 -0.041585
13 -0.055498 -0.133985 -0.041585
14 0.055498 -0.133985 -0.041585
15 0.133985 -0.055498 -0.041585
16 0.133985 0.055498 -0.041585
17 0.055498 0.133985 -0.041585
18 -0.055498 0.133985 -0.041585
19 -0.133985 0.055498 -0.041585

20 0.075914 -0.031445 -0.126529
21 0.031445 0.075914 -0.126529
22 -0.075914 0.031445 -0.126529
23 -0.031445 -0.075914 -0.126529
